func	unit	status	len_err	diffs	flags	needs_guard
func_8002BD0C	select_render_preset_800100a8	OK	0	8	-G0 -mno-split-addresses	
func_8002BF3C	notify_set_flags_801d0200_801d0250	MATCH	0	0	-G8	
func_8002BFCC	func_8002BFCC	STUB				
func_8002C400	func_8002C400	MATCH	0	0	-G8 -msplit-addresses	
func_8002C484	func_8002C484	MATCH	0	0	-G8 -msplit-addresses	
func_8002C4DC	find_index_in_id_table	MATCH	0	0	-G8 -msplit-addresses	
func_8002C518	test_byte_flag_591_else_find_id_index	MATCH	0	0	-G8 -msplit-addresses	
func_8002C560	func_8002C560	MATCH	0	0	-G8	
func_8002C568	func_8002C568	MATCH	0	0	-G8	
func_8002C570	test_byte_flag_591	MATCH	0	0	-G8	
func_8002C598	reset_pool_800ead88	MATCH	0	0	-G8	
func_8002C5CC	find_free_slot_800ead88	MATCH	0	0	-G8	
func_8002C604	alloc_init_pool_entry_800ead88	MATCH	0	0	-G8 -msplit-addresses	
func_8002C68C	call_8002c604_set_flag80_if_nonzero	MATCH	0	0	-G8	
func_8002C6C8	func_8002C6C8	MATCH	0	0	-G8 -msplit-addresses	
func_8002C7E8	table801a7ad8_recipe_lookup	MATCH	0	0	-G8 -mno-split-addresses	
func_8002C938	collect_high_bit_records	MATCH	0	0	-G0	
func_8002C9B4	collect_field_slot_ptrs	MATCH	0	0	-G0 -msplit-addresses	
func_8002CB50	copy_5words_and_clear	MATCH	0	0	-G8	
func_8002CB80	calc_wrap_scroll_delta	MATCH	0	0	-G8	
func_8002CBF4	func_8002CBF4	MATCH	0	0	-G8 -msplit-addresses	
func_8002CCA8	func_8002CCA8	MATCH	0	0	-G8 -msplit-addresses	
func_8002CCE4	func_8002CCE4	OK	0	2	-G8 -mno-split-addresses	
func_8002CD48	call_ccca8_then_cce4_if_zero	MATCH	0	0	-G8 -msplit-addresses	
func_8002CD8C	reset_flags_four_calls	MATCH	0	0	-G0 -mno-split-addresses	
func_8002CDE8	__builtin_vec_new	MATCH	0	0	-G8 -msplit-addresses	
