category	name	hacker	code	status	address
Max Card Codes	Max Card 16	Police NYPD	301D025F 0063	WRITE	0x801D025F
Max Card Codes	Max Card 17	Police NYPD	301D0260 0063	WRITE	0x801D0260
Max Card Codes	Max Card 18	Police NYPD	301D0261 0063	WRITE	0x801D0261
Max Card Codes	Max Card 19	Police NYPD	301D0262 0063	WRITE	0x801D0262
Max Card Codes	Max Card 20	Police NYPD	301D0263 0063	WRITE	0x801D0263
Max Card Codes	Max Card 21	Police NYPD	301D0264 0063	WRITE	0x801D0264
Max Card Codes	Max Card 22	Police NYPD	301D0265 0063	WRITE	0x801D0265
Max Card Codes	Max Card 23	Police NYPD	301D0266 0063	WRITE	0x801D0266
Max Card Codes	Max Card 24	Police NYPD	301D0267 0063	WRITE	0x801D0267
Max Card Codes	Max Card 25	Police NYPD	301D0268 0063	WRITE	0x801D0268
Max Card Codes	Max Card 26	Police NYPD	301D0269 0063	WRITE	0x801D0269
Max Card Codes	Max Card 27	Police NYPD	301D026A 0063	WRITE	0x801D026A
Max Card Codes	Max Card 28	Police NYPD	301D026B 0063	WRITE	0x801D026B
Max Card Codes	Max Card 29	Police NYPD	301D026C 0063	WRITE	0x801D026C
Max Card Codes	Max Card 30	Police NYPD	301D026D 0063	WRITE	0x801D026D
Max Card Codes	Max Card 31	Police NYPD	301D026E 0063	WRITE	0x801D026E
Max Card Codes	Max Card 32	Police NYPD	301D026F 0063	WRITE	0x801D026F
Max Card Codes	Max Card 33	Police NYPD	301D0270 0063	WRITE	0x801D0270
Max Card Codes	Max Card 34	Police NYPD	301D0271 0063	WRITE	0x801D0271
Max Card Codes	Max Card 35	Police NYPD	301D0272 0063	WRITE	0x801D0272
Max Card Codes	Max Card 36	Police NYPD	301D0273 0063	WRITE	0x801D0273
Max Card Codes	Max Card 37	Police NYPD	301D0274 0063	WRITE	0x801D0274
Max Card Codes	Max Card 38	Police NYPD	301D0275 0063	WRITE	0x801D0275
Max Card Codes	Max Card 39	Police NYPD	301D0276 0063	WRITE	0x801D0276
Max Card Codes	Max Card 40	Police NYPD	301D0277 0063	WRITE	0x801D0277
